campaign_id,campaign_name,campaign_type,start_date,end_date,target_segment,budget,impressions,clicks,conversions,conversion_rate,roi
c3e21ace-8fb1-46d6-b95a-e385f8afeb75,Anniversary Blowout 2025,In-Store Promotion,2024-12-04,2025-01-18,Midwest,11616.93,346329,3065,780,25.45,2338.21
a64e4f51-0641-41ed-8966-522bb13a1b65,Anniversary Bonanza 2021,In-Store Promotion,2021-03-07,2021-06-05,Seniors (60+),24741.23,748664,6521,1724,26.44,3332.43
3f2d1ecb-0c9c-442e-bde3-5b31e9ddadf0,Anniversary Deals 2023,Print Advertisement,2023-06-28,2023-08-12,Adults (26-40),51057.91,2959908,15916,592,3.72,168.93
1bb1316d-b5a9-4386-bdc3-78047c406afa,Anniversary Deals 2024,SMS Marketing,2023-12-02,2024-03-01,High-Value Customers,24430.78,850806,5346,170,3.18,277.37
b7a5e0eb-9070-4bd4-a75d-87abf84136aa,Anniversary Discount 2021,Influencer Marketing,2021-01-28,2021-04-28,Young Adults (18-25),55818.95,2577054,17162,480,2.8,89.42
2b5a8d4b-78a5-4fd2-a09d-aa2b91b7724c,Anniversary Discount 2022,Influencer Marketing,2021-12-21,2022-01-04,Inactive Customers,44745.14,2617017,14120,682,4.83,624.38
9685fc9f-03c9-4ebe-a56a-bcc25216546a,Anniversary Event 2020,Social Media,2020-06-05,2020-09-03,Young Adults (18-25),11643.06,385074,5337,139,2.6,175.37
b2561359-bc93-47e4-a45c-9ae50248a610,Anniversary Event 2021,In-Store Promotion,2021-02-01,2021-03-18,East Coast,25694.56,1076214,5814,1421,24.44,678.24
1c0e15da-d05b-4c52-b766-a4022ff2db2e,Anniversary Event 2022,Influencer Marketing,2022-11-08,2022-11-22,High-Value Customers,58081.36,5436932,40815,939,2.3,2039.32
c272f7a3-319b-4f5e-9066-c2dc9812bceb,Anniversary Extravaganza 2021,Print Advertisement,2021-08-27,2021-09-26,Loyal Customers,23359.29,1570842,10467,485,4.63,535.99
39252361-8471-4883-bc9a-18b35de7570a,Anniversary Promotion 2023,Print Advertisement,2023-07-24,2023-07-31,West Coast,36208.23,2066219,9497,194,2.04,159.31
7b6cb69a-7e91-49c7-9454-27800056aada,Anniversary Promotion 2024,SMS Marketing,2024-05-25,2024-06-24,Young Adults (18-25),24049.86,2229022,9267,291,3.14,230.79
63dc1773-9030-4025-af6b-5c601d17c485,Anniversary Sale 2021,SMS Marketing,2021-06-05,2021-07-20,In-Store Shoppers,18882.22,544608,782,25,3.2,-84.65
eff0fa9f-7d20-46cc-89d6-6cba7e20062d,Anniversary Special 2021,SMS Marketing,2021-07-29,2021-09-12,Kitchen Enthusiasts,19926.02,1083610,4999,185,3.7,132.02
751d87f4-c7d1-4923-bd08-44963e0eab4b,Anniversary Special 2023,TV Advertisement,2023-06-07,2023-06-14,Middle-aged (41-60),130993.67,3124120,14219,586,4.12,95.15
03731181-15a1-41c1-88f5-72fe61631306,Back to School Bonanza 2022,In-Store Promotion,2022-08-19,2022-08-26,All Customers,26870.63,2322952,21235,5728,26.97,3157.43
91a1bb69-78ed-42c9-810a-69a31d97bb5c,Back to School Bonanza 2024,In-Store Promotion,2024-10-06,2024-11-05,East Coast,12656.4,1086381,5198,1409,0,4610.23
047c8f98-2a6c-44e2-b009-73ec399bb262,Back to School Collection 2023,Email Marketing,2023-02-20,2023-03-22,Online Shoppers,24505.04,1212342,39283,2612,6.65,4554.54
bc514826-162e-486b-b12b-19796857e2dc,Back to School Deals 2020,Print Advertisement,2020-08-18,2020-09-01,Technology Enthusiasts,28574.47,1484317,11671,284,0,361.43
91043867-83ed-4bca-8a7e-1ab64d71a506,Back to School Deals 2024,Online Display Ads,2024-05-27,2024-07-26,Inactive Customers,13175.08,219826,1731,49,2.83,45.89
01cf81a9-23b8-46ee-810b-14ecc90e8d02,Back to School Promotion 2024,Radio Advertisement,2024-09-19,2024-11-03,East Coast,108048.97,5750593,0,1203,2.24,208.26
716d9d59-f3f5-4f64-a2dd-4c352159c94e,Back to School Event 2020,Social Media,2020-07-25,2020-09-23,Middle-aged (41-60),30051.16,760781,5293,132,2.49,66.37
60e8259c-1497-4943-9ca4-123f114da46d,Back to School Promotion 2025,TV Advertisement,2024-12-16,2025-01-30,Inactive Customers,143227.2,4091098,10438,236,2.26,-53.98
eedd0753-1436-4e7f-8f5f-4a237aa3204a,Back to School Sale 2022,Print Advertisement,2022-03-05,2022-06-03,Seniors (60+),58955.33,3845868,25984,1235,4.75,501.18
b7968718-3a68-43e7-b62e-ea66db65a1ce,Back to School Sale 2024,Radio Advertisement,2024-04-13,2024-05-13,In-Store Shoppers,186115.81,12468419,57219,2538,4.44,532.65
840728c1-a06b-4026-b7c8-f27d7212d824,Black Friday Blowout 2020,Radio Advertisement,2020-11-08,2020-11-22,Adults (26-40),160998.44,9995958,99572,1970,1.98,206.66
8254eddc-5377-4bb5-a9d7-322d57e766cb,Black Friday Blowout 2022,TV Advertisement,2021-12-09,2022-02-07,Seniors (60+),132021.22,3191296,0,209,2.06,-73.61
d911890f-d922-4289-8b5b-5b20dfcf51c3,Black Friday Collection 2021,SMS Marketing,2021-04-24,2021-05-24,Adults (26-40),21853.11,1880866,0,102,3.43,-46.47
2cd2db16-9a66-435c-bace-051ecb3d52e3,Black Friday Collection 2024,SMS Marketing,2024-09-12,2024-10-12,Home Improvement,14017.74,824963,3551,0,2,25.27
5f0e7e89-9fc0-41b3-9905-65cef461279d,Black Friday Extravaganza 2024,Influencer Marketing,2024-06-16,2024-06-30,West Coast,74194.26,4278738,33109,1523,4.6,869.61
e00fd548-a5a8-40f9-8c52-72c4b34284d4,Black Friday Deals 2022,TV Advertisement,2022-12-23,2022-12-30,Online Shoppers,131257.78,3033564,24788,529,2.13,14.14
b7c08521-1577-44d7-9d8e-c40a7afd9f7b,Black Friday Deals 2023,Online Display Ads,2022-12-10,2023-01-09,Technology Enthusiasts,47318.31,3019390,8619,182,2.11,-32.81
06661374-6b39-443b-b85b-befa20264531,Black Friday Discount 2024,Social Media,2023-12-06,2024-01-20,In-Store Shoppers,35630.2,2515837,20529,613,2.99,167.19
94f7c731-d703-4f45-bea6-8bad1da841fb,Black Friday Extravaganza 2020,Email Marketing,2020-06-15,2020-06-29,West Coast,29567.53,2926153,84259,3039,3.61,2436.83
6d7d439f-f794-4254-a356-3ee927853d78,Black Friday Deals 2020,Online Display Ads,2020-04-14,2020-04-28,East Coast,45314.64,1026072,6765,324,4.79,202.22
597f3c44-49c9-4d2a-bddd-8c616934c8f6,Black Friday Extravaganza 2023,Influencer Marketing,2023-09-27,2023-10-11,High-Value Customers,21197.95,1945452,8896,93,1.05,341.56
818079e3-9dec-4d6f-bc35-ac7e2f98ec04,Black Friday Promotion 2023,Print Advertisement,2023-05-22,2023-05-29,West Coast,75733.87,0,3008,82,2.73,-73.87
0d120125-26cc-4023-9a54-bebbc0159b76,Black Friday Sale 2020,Online Display Ads,2020-09-29,2020-11-13,Southern States,14528.9,740965,1189,53,4.46,-61.31
726dc70e-4af5-4c70-8e56-e68c98f556a1,Black Friday Sale 2021,Radio Advertisement,2021-03-07,2021-03-21,High-Value Customers,0,4841153,10317,161,1.56,9.16
8b5d0307-5d82-444b-a427-925be4fcfcc3,Black Friday Special 2021,Influencer Marketing,2021-11-09,2021-12-24,Adults (26-40),49509.08,2855238,2935,96,3.27,-50.03
c97a0509-d382-4561-91ec-a6222a68fd01,Black Friday Special 2022,Influencer Marketing,2022-07-09,2022-07-23,Kitchen Enthusiasts,62819.66,4449491,9499,189,1.99,-31.81
0be68843-5882-41f2-aafb-d95717708498,Black Friday Special 2024,Print Advertisement,2023-11-10,2024-02-08,Online Shoppers,68823.27,3566015,21611,732,3.39,85.07
c4f080ae-819d-4fee-8a5c-1e541fa45f9f,Clearance Collection 2021,SMS Marketing,2021-06-21,2021-08-05,All Customers,16373.45,773843,2760,114,4.13,174.58
4e5f1839-4d4a-43f4-acd5-25ae20c459e9,Clearance Collection 2022,Influencer Marketing,2022-05-13,2022-08-11,In-Store Shoppers,0,1982184,12377,433,3.5,955.62
6e279f55-d2e0-4540-916f-eb9017d0662b,Clearance Discount 2020,Online Display Ads,2020-09-05,2020-09-12,All Customers,21727.91,2153624,16545,639,3.86,679.22
7d3ac782-2b61-42e6-9ae6-9f5f7b019434,Clearance Event 2021,Email Marketing,2021-10-12,2021-10-26,Home Improvement,0,859205,24022,1143,4.76,1036.17
369841a2-1893-4e1e-8d5d-3648d06ee408,Clearance Event 2020,Online Display Ads,2020-05-29,2020-07-28,In-Store Shoppers,10149.7,590148,1483,0,2.97,114.08
b2467dac-9479-4c7f-9c5f-4a732748447b,Clearance Extravaganza 2020,Radio Advertisement,2020-09-15,2020-12-14,Adults (26-40),68263.32,5058400,45666,2035,4.46,1350.42
7f4c23bf-74f0-4ee7-8dab-2872ca4234fc,Clearance Promotion 2021,TV Advertisement,2021-01-04,2021-01-18,Inactive Customers,199238.42,10615343,42286,1149,2.72,-22.18
81fdabf4-8594-4411-8633-971f52d1d657,Clearance Promotion 2024,Influencer Marketing,2024-09-08,2024-11-07,Technology Enthusiasts,25784.93,835973,2791,50,1.79,-47.46
e61f0601-01f3-491e-bccc-bd0bf9d32fe6,Clearance Special 2020,SMS Marketing,2020-05-10,2020-05-24,East Coast,28644.94,1276888,11005,390,3.54,113.82
235d978a-91d1-40b4-be70-785d49a1878a,Exclusive Blowout 2020,Search Engine Marketing,2020-07-15,2020-08-14,All Customers,35931.32,2952329,165028,12200,7.39,11851.96
17c199ea-899e-42d2-acb4-563f75271715,Exclusive Blowout 2021,Social Media,2021-12-23,2021-12-30,Middle-aged (41-60),45261.74,1566830,12705,306,2.41,80.48
5dee1c99-b9d9-47ba-b132-1527ce542bf2,Exclusive Blowout 2023,Search Engine Marketing,2023-08-01,2023-08-31,Kitchen Enthusiasts,16876.37,188228,6879,441,6.41,654.56
aa0f2ebc-4d9c-4493-9d2f-ce80fa729982,Exclusive Discount 2023,Print Advertisement,2022-12-20,2023-01-03,Kitchen Enthusiasts,43309.54,3342409,12703,428,3.37,93.9
8b7bed1f-75b3-41b8-99e7-f6b2e0939ba7,Exclusive Collection 2023,Influencer Marketing,2023-05-04,2023-06-03,Middle-aged (41-60),58672.4,2554191,6413,143,2.23,-29.05
892301ca-40af-4858-9ee1-f895a303d4f0,Exclusive Bonanza 2023,,2023-03-05,2023-03-12,Adults (26-40),21566.18,1783369,9037,2638,29.19,5153.76
264f4b08-c816-447e-8e6c-db5b5d7114c5,Exclusive Collection 2020,,2020-04-19,2020-04-26,Technology Enthusiasts,17138.09,125872,3930,215,5.47,62.05
54265cb6-3bf8-4e6b-b978-5f3af3f84d87,Exclusive Collection 2022,SMS Marketing,2021-12-22,2022-01-21,Kitchen Enthusiasts,26011.18,989270,6728,81,1.2,-7.98
2174185f-8148-4afc-8a2c-4e71171a7ade,Exclusive Deals 2023,TV Advertisement,2023-02-17,2023-05-18,Kitchen Enthusiasts,101537.11,3978955,19467,458,2.35,0
45f801e7-f299-4ce3-8517-3e142f072ffc,Exclusive Discount 2020,In-Store Promotion,2020-08-05,2020-10-04,Middle-aged (41-60),19026.36,1426912,5009,1921,38.35,3412.66
f032d2bb-a307-4f8a-b1d5-0d5d94059247,Exclusive Event 2021,Email Marketing,2021-03-08,2021-03-22,In-Store Shoppers,16863.87,1358141,36788,936,2.54,1872.45
038bb346-9db6-4560-ba78-27b418c966ac,Exclusive Extravaganza 2021,Radio Advertisement,2021-05-01,2021-07-30,Inactive Customers,111146.5,554209,766,12,1.57,-94.79
7845cf3a-7138-4df2-be3e-bfc16213d168,Exclusive Extravaganza 2024,Online Display Ads,2024-09-24,2024-10-24,New Customers,17944.65,1204548,11013,406,3.69,174.28
7541a068-d558-42f2-888a-511f728b9ac6,Exclusive Promotion 2022,Radio Advertisement,2022-04-21,2022-04-28,Loyal Customers,91227.42,4487914,29410,1322,4.5,198.29
8f8cbdaf-da5f-478e-99a6-bd36ffe08e77,Exclusive Promotion 2023,SMS Marketing,2023-11-27,2023-12-27,Kitchen Enthusiasts,26727.1,1686883,12059,472,3.91,647.2
88edf40b-4452-4d1c-acb8-0bb247a3631c,Exclusive Sale 2020,In-Store Promotion,2020-07-31,2020-08-14,Young Adults (18-25),12049,1091120,6257,2140,34.2,4078.62
37d9b67d-5e0c-43e7-a6e2-03e530cd0f17,Exclusive Sale 2022,Email Marketing,2022-08-21,2022-08-28,Adults (26-40),7186.61,111118,2268,70,3.09,37.54
fe321409-61d2-4f38-926b-effe7bbcaa36,Exclusive Sale 2023,In-Store Promotion,2023-01-17,2023-02-16,Seniors (60+),10475.28,916302,1955,641,32.79,2403.05
a3129848-1b75-43db-9547-dad305e5e5c0,Exclusive Special 2024,In-Store Promotion,2024-05-24,2024-08-22,Inactive Customers,14376.99,806674,7766,2920,37.6,4439.81
72eb7c25-2d02-463f-9e38-76ddb236354e,Fall Bonanza 2024,Print Advertisement,2024-04-18,2024-04-25,All Customers,50831.2,3665422,23811,0,1.08,67.97
88c9084c-bc99-445b-98b5-6c3c34259744,Fall Collection 2021,Online Display Ads,2021-02-20,2021-04-21,East Coast,36948.1,1876893,2705,129,4.77,1.74
2cac3e91-4a45-42e8-b683-6f5e697718b2,Fall Discount 2023,SMS Marketing,2023-05-03,2023-07-02,Kitchen Enthusiasts,22308.87,62998,452,16,3.54,-81.53
