campaign_name,campaign_type,target_segment,start_date,end_date,attrition_window_end_date,age,state,order_total,transaction_date,transaction_id,product_category,store_location
Fall Promotion 2024,Online Display Ads,Adults (26-40),12/29/2023,2/27/2024,3/28/2024,40,California,1938.58,3/22/2024,00005deb-b43c-432a-a852-8f29fb927336,Furniture,Atlanta GA
Limited Time Promotion 2024,In-Store Promotion,Southern States,4/27/2024,6/26/2024,7/26/2024,34,Texas,278.09,7/3/2024,000b7036-f0f4-445e-a874-1b2b1a4b5c5a,Gaming Consoles,San Francisco CA
Holiday Deals 2024,Search Engine Marketing,Home Improvement,11/7/2024,12/7/2024,1/6/2025,38,Ohio,162.42,12/17/2024,000bb248-8615-4f2c-8017-b46ef835e2bf,Home Decor,Online
Flash Extravaganza 2024,Online Display Ads,Young Adults (18-25),6/30/2024,9/28/2024,10/28/2024,21,Florida,164.01,10/27/2024,001c5d1b-f90e-46d5-b00c-27f89291f76c,Audio Equipment,Online
Clearance Promotion 2024,Influencer Marketing,Technology Enthusiasts,9/8/2024,11/7/2024,12/7/2024,21,Florida,164.01,10/27/2024,001c5d1b-f90e-46d5-b00c-27f89291f76c,Audio Equipment,Online
Flash Special 2024,Search Engine Marketing,Midwest,6/16/2024,8/15/2024,9/14/2024,30,Michigan,631.92,9/13/2024,001f1b2f-974d-40a0-9c24-1227003240f8,Kitchen Appliances,Online
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,43,Massachusetts,292.71,8/2/2024,002c33b9-0bb4-4d2f-bd07-abddc0e7fe4c,Furniture,Online
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,40,Pennsylvania,3610.42,7/25/2024,002d244b-5f74-496c-b7fc-dd490ba538c5,Furniture,New York NY
Black Friday Collection 2024,SMS Marketing,Home Improvement,9/12/2024,10/12/2024,11/11/2024,48,Pennsylvania,1228.9,10/14/2024,0039806e-59c5-4200-9a63-64f44e78e591,Furniture,San Francisco CA
VIP Extravaganza 2024,Influencer Marketing,Middle-aged (41-60),8/19/2024,10/18/2024,11/17/2024,48,Pennsylvania,1228.9,10/14/2024,0039806e-59c5-4200-9a63-64f44e78e591,Furniture,San Francisco CA
VIP Special 2024,Social Media,East Coast,4/25/2024,6/24/2024,7/24/2024,36,New York,454.86,7/7/2024,003cac74-6359-4dae-baf8-206013acb20b,Kitchen Appliances,Online
Black Friday Discount 2024,Social Media,In-Store Shoppers,12/6/2023,1/20/2024,2/19/2024,24,Texas,228.24,2/14/2024,0041b391-7ee9-4135-8497-a1cf95c21b03,Smart Home Devices,Chicago IL
Black Friday Discount 2024,Social Media,In-Store Shoppers,12/6/2023,1/20/2024,2/19/2024,23,Pennsylvania,282.92,12/16/2023,004904ae-5938-4b44-81f8-9e4496fb933f,Audio Equipment,Miami FL
Holiday Deals 2024,Search Engine Marketing,Home Improvement,11/7/2024,12/7/2024,1/6/2025,39,Florida,807.22,11/23/2024,004ea18d-5c6c-41aa-b6ce-1d8949969a85,Furniture,New York NY
New Year Bonanza 2024,In-Store Promotion,Southern States,11/9/2024,12/24/2024,1/23/2025,39,Florida,807.22,11/23/2024,004ea18d-5c6c-41aa-b6ce-1d8949969a85,Furniture,New York NY
Spring Special 2024,Radio Advertisement,Home Improvement,10/16/2024,11/15/2024,12/15/2024,39,Florida,807.22,11/23/2024,004ea18d-5c6c-41aa-b6ce-1d8949969a85,Furniture,New York NY
Fall Promotion 2024,Online Display Ads,Adults (26-40),12/29/2023,2/27/2024,3/28/2024,31,Illinois,232.29,3/9/2024,00541b06-c07c-4c84-9483-d1506daf6807,Home Decor,Online
Spring Special 2024,Radio Advertisement,Home Improvement,10/16/2024,11/15/2024,12/15/2024,24,Illinois,312.88,11/4/2024,0058cc2a-ed0b-4f7b-81e1-6b4b71721646,Smart Home Devices,Los Angeles CA
Black Friday Collection 2024,SMS Marketing,Home Improvement,9/12/2024,10/12/2024,11/11/2024,24,Illinois,312.88,11/4/2024,0058cc2a-ed0b-4f7b-81e1-6b4b71721646,Smart Home Devices,Los Angeles CA
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,41,California,59,8/1/2024,005ac52c-f090-4724-be51-765a273a6287,Furniture,Online
New Year Deals 2024,Email Marketing,Southern States,12/10/2023,1/9/2024,2/8/2024,18,North Carolina,144,2/2/2024,005e3d4e-dfd9-4adc-99ef-bd441a029185,Small Kitchen Appliances,Online
Summer Collection 2024,Radio Advertisement,Kitchen Enthusiasts,1/17/2024,1/31/2024,3/1/2024,18,North Carolina,144,2/2/2024,005e3d4e-dfd9-4adc-99ef-bd441a029185,Small Kitchen Appliances,Online
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,32,California,76.3,6/26/2024,005f41e8-f960-4c6d-8157-0e753d798231,Home Decor,Online
Black Friday Extravaganza 2024,Influencer Marketing,West Coast,6/16/2024,6/30/2024,7/30/2024,32,California,76.3,6/26/2024,005f41e8-f960-4c6d-8157-0e753d798231,Home Decor,Online
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,28,California,169.32,8/3/2024,00618dd6-e5c5-41f5-addf-5b8ca716bd3e,Smart Home Devices,Online
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,46,Virginia,89.5,8/9/2024,00651c02-fc72-4916-b288-2432bb27a9a5,Home Decor,Online
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,26,Florida,55.75,8/13/2024,006818f3-3600-4e04-bd6a-3c5799c17740,Smart Home Devices,Online
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,42,Georgia,276.13,10/7/2024,0069c0d4-426d-49cb-a95b-9082fbd93ae1,Furniture,Online
Black Friday Collection 2024,SMS Marketing,Home Improvement,9/12/2024,10/12/2024,11/11/2024,42,Georgia,276.13,10/7/2024,0069c0d4-426d-49cb-a95b-9082fbd93ae1,Furniture,Online
VIP Extravaganza 2024,Influencer Marketing,Middle-aged (41-60),8/19/2024,10/18/2024,11/17/2024,42,Georgia,276.13,10/7/2024,0069c0d4-426d-49cb-a95b-9082fbd93ae1,Furniture,Online
Fall Event 2024,Online Display Ads,Middle-aged (41-60),12/29/2023,2/12/2024,3/13/2024,48,Texas,341.44,2/10/2024,006f6916-1c85-4961-9055-c35b9ab41a32,Kitchen Appliances,Online
New Year Collection 2024,Online Display Ads,Middle-aged (41-60),2/2/2024,2/9/2024,3/10/2024,48,Texas,341.44,2/10/2024,006f6916-1c85-4961-9055-c35b9ab41a32,Kitchen Appliances,Online
Summer Collection 2024,Radio Advertisement,Kitchen Enthusiasts,1/17/2024,1/31/2024,3/1/2024,48,Texas,341.44,2/10/2024,006f6916-1c85-4961-9055-c35b9ab41a32,Kitchen Appliances,Online
Holiday Deals 2024,Search Engine Marketing,Home Improvement,11/7/2024,12/7/2024,1/6/2025,26,Pennsylvania,181.77,1/6/2025,00713877-109a-47d6-bc62-5e9c33951fc0,Smart Home Devices,Denver CO
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,50,Illinois,110.87,8/1/2024,00731df1-cb2a-4edc-a44f-632d12bdf713,Bedding,Online
Flash Special 2024,Search Engine Marketing,Midwest,6/16/2024,8/15/2024,9/14/2024,50,Illinois,110.87,8/1/2024,00731df1-cb2a-4edc-a44f-632d12bdf713,Bedding,Online
Flash Extravaganza 2024,Online Display Ads,Young Adults (18-25),6/30/2024,9/28/2024,10/28/2024,18,Georgia,240.48,9/11/2024,00750583-fcaf-4c17-8c73-9759b0b74ecb,Audio Equipment,Online
Clearance Promotion 2024,Influencer Marketing,Technology Enthusiasts,9/8/2024,11/7/2024,12/7/2024,18,Georgia,240.48,9/11/2024,00750583-fcaf-4c17-8c73-9759b0b74ecb,Audio Equipment,Online
Flash Promotion 2024,SMS Marketing,Middle-aged (41-60),3/28/2024,4/27/2024,5/27/2024,43,Texas,230.06,4/5/2024,007a1801-96b8-4ba3-a0d9-ff6e5679aa17,Audio Equipment,Denver CO
Clearance Promotion 2024,Influencer Marketing,Technology Enthusiasts,9/8/2024,11/7/2024,12/7/2024,18,Texas,1768.29,12/2/2024,007fc6c2-fd70-40a7-84bf-11b1ea5a7733,Laptops,Houston TX
New Year Bonanza 2024,In-Store Promotion,Southern States,11/9/2024,12/24/2024,1/23/2025,18,Texas,1768.29,12/2/2024,007fc6c2-fd70-40a7-84bf-11b1ea5a7733,Laptops,Houston TX
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,34,Pennsylvania,40.24,8/25/2024,00865856-548c-484e-aaff-5c67e6f518c8,Smart Home Devices,Online
Fall Event 2024,Online Display Ads,Middle-aged (41-60),12/29/2023,2/12/2024,3/13/2024,51,Illinois,86.93,3/1/2024,0089778b-6dde-4fb2-87a9-04c823a2eae2,Smart Home Devices,Chicago IL
New Year Collection 2024,Online Display Ads,Middle-aged (41-60),2/2/2024,2/9/2024,3/10/2024,51,Illinois,86.93,3/1/2024,0089778b-6dde-4fb2-87a9-04c823a2eae2,Smart Home Devices,Chicago IL
Black Friday Discount 2024,Social Media,In-Store Shoppers,12/6/2023,1/20/2024,2/19/2024,42,California,104.53,12/12/2023,008a5447-339f-47b7-a35c-2e4989439e95,Home Decor,Houston TX
New Year Promotion 2024,In-Store Promotion,East Coast,3/20/2024,4/19/2024,5/19/2024,42,New York,1886.35,5/13/2024,008e532d-e174-48ff-b529-d3f3be2f1457,Furniture,Chicago IL
VIP Special 2024,Social Media,East Coast,4/25/2024,6/24/2024,7/24/2024,42,New York,1886.35,5/13/2024,008e532d-e174-48ff-b529-d3f3be2f1457,Furniture,Chicago IL
Back to School Sale 2024,Radio Advertisement,In-Store Shoppers,4/13/2024,5/13/2024,6/12/2024,42,New York,1886.35,5/13/2024,008e532d-e174-48ff-b529-d3f3be2f1457,Furniture,Chicago IL
Flash Promotion 2024,SMS Marketing,Middle-aged (41-60),3/28/2024,4/27/2024,5/27/2024,42,New York,1886.35,5/13/2024,008e532d-e174-48ff-b529-d3f3be2f1457,Furniture,Chicago IL
